Year,Name,Offense_Coordinator_Defense_Coordinator,Minority,Team
2019,Josh McDaniels,Offense,No,Patriots
2019,Brian Daboll,Offense,No,Bills
2019,Leslie Frazier,Defense,Yes,Bills
2019,Dowell Loggains,Offense,No,Jets
2019,Gregg Williams,Defense,No,Jest
2019,Chad O'Shea,Offense,No,Dolphins
2019,Patrick Graham,Defense,Yes,Dolphins
2019,Greg Roman,Offense,No,Ravens
2019,Don Martindale,Defense,No,Ravens
2019,Randy Fichtner,Offense,No,Steelers
2019,Keith Butler,Defense,No,Steelers
2019,Todd Monken,Offense,No,Browns
2019,Steve Wilks,Defense,Yes,Browns
2019,Brian Callahan,Offense,No,Bengals
2019,Lou Anarumo,Defense,No,Bengals
2019,Tim Kelly,Offense,No,Texans
2019,Romeo Crennel,Defense,Yes,Texans
2019,Author Smith,Offense,No,Titans
2019,Dean Pees,Defense,No,Titans
2019,Nick Sirianni,Offense,No,Colts
2019,Matt Eberflus,Defense,No,Colts
2019,John DeFilippo,Offense,No,Jaguars
2019,Tood Walsh,Defense,No,Jaguars
2019,Eric Bieniemy,Offense,Yes,Chiefs
2019,Steve Spagnuolo,Defense,No,Chiefs
2019,Rich Scangarello,Offense,No,Broncos
2019,Ed Donatell,Defense,No,Broncos
2019,Greg Olson,Offense,No,Raiders
2019,Paul Guenther,Defense,No,Raiders
2019,Ken Whisenhunt,Offense,No,Chargers
2019,Gus Bradley,Defense,No,Chargers
2019,Mike Groh,Offense,No,Eagles
2019,Jim Schwartz,Defense,No,Eagles
2019,Kellen Moore,Offense,No,Cowboys
2019,Rod Marinelli,Defense,No,Cowboys
2019,Mike Shula,Offense,No,Giants
2019,James Bettcher,Defense,No,Giants
2019,Kevin O'Connell,Offense,No,Redskins
2019,Greg Manusky,Defense,No,Redskins
2019,Nathanial Hackett,Offense,No,Packers
2019,Mike Pettine,Defense,No,Packers
2019,Kevin Stefanski,Offense,No,Vikings
2019,George Edwards,Defense,Yes,Vikings
2019,Mark Helfrich,Offense,No,Bears
2019,Chuck Pagano,Defense,No,Bears
2019,Darrell Bevell,Offense,No,Lions
2019,Paul Pasqualoni,Defense,No,Lions
2019,Pete Carmichael,Offense,No,Saints
2019,Dennis Allen,Defense,No,Saints
2019,Dirk Koetter,Offense,No,Falcons
2019,Byron Leftwich,Offense,Yes,Buccaneers
2019,Todd Bowles,Defense,Yes,Buccaneers
2019,Norv Turner,Offense,No,Panthers
2019,Scott Turner,Offense,No,Panthers
2019,Eric Washington,Defense,Yes,Panthers
2019,Robert Saleh,Defense,Yes,49ers
2019,Brian Schottenheimer,Offense,No,Seahawks
2019,Ken Norton,Defense,Yes,Seahawks
2019,Wade Phillips,Defense,No,Rams
2019,Vance Joseph,Defense,Yes,Cardinals
2018,Josh McDaniels,Offense,No,Patriots
2018,Brian Daboll,Offense,No,Bills
2018,Leslie Frazier,Defense,Yes,Bills
2018,Jeremy Bates,Offense,No,Jets
2018,Kacy Rodgers,Defense,Yes,Jets
2018,Dowell Loggains,Offense,No,Dolphins
2018,Matt Burke,Defense,No,Dolphins
2018,Marty Mornhinweg,Offense,No,Ravens
2018,Don Martindale,Defense,No,Ravens
2018,Randy Fichtner,Offense,No,Steelers
2018,Keith Butler,Defense,No,Steelers
2018,Todd Haley,Offense,No,Browns
2018,Freddie Kitchens,Offense,No,Browns
2018,Gregg Williams,Defense,No,Browns
2018,Bill Lazor,Offense,No,Bengals
2018,Teryl Austin,Defense,Yes,Bengals
2018,Romeo Crennel,Defense,Yes,Texans
2018,Matt LaFleur,Offense,No,Titans
2018,Dean Pees,Defense,No,Titans
2018,Nick Sirianni,Offense,No,Colts
2018,Matt Eberflus,Defense,No,Colts
2018,Nathanial Hackett,Offense,No,Jaguars
2018,Todd Walsh,Defense,No,Jaguars
2018,Eric Bieniemy,Offense,Yes,Chiefs
2018,Bob Sutton,Defense,No,Chiefs
2018,Bill Musgrave,Offense,No,Broncos
2018,Joe Woods,Defense,Yes,Broncos
2018,Greg Olson,Offense,No,Raiders
2018,Paul Guenther,Defense,No,Raiders
2018,Ken Whisenhunt,Offense,No,Chargers
2018,Gus Bradley,Defense,No,Chargers
2018,Mike Groh,Offense,No,Eagles
2018,Jim Schwartz,Defense,No,Eagles
2018,Scott Linehan,Offense,No,Cowboys
2018,Rod Marinelli,Defense,No,Cowboys
