Year,League,Number_of_Teams,New_Coaches_Hired,Turnover_Rate,Minority_Coaching_Hired,Percent_of_Total_Hiring,Total_Minority_Coaches,Percent_of_Minority_Coaches
2019,NFL,32,8,25.00%,1,12.50%,4,12.50%
2018,NFL,32,7,21.88%,1,14.29%,8,25.00%
2017,NFL,32,6,18.75%,2,33.33%,8,25.00%
2016,NFL,32,7,21.88%,1,14.29%,6,18.75%
2015,NFL,32,7,21.88%,1,14.29%,6,18.75%
2014,NFL,32,7,21.88%,2,28.57%,5,15.63%
2013,NFL,32,8,25.00%,0,0.00%,4,12.50%
2012,NFL,32,7,21.88%,1,14.29%,6,18.75%
2011,NFL,32,7,21.88%,3,42.86%,9,28.13%
2010,NFL,32,4,12.50%,0,0.00%,6,18.75%
2009,NFL,32,7,21.88%,2,28.57%,6,18.75%
2008,NFL,32,7,21.88%,1,14.29%,6,18.75%
2007,NFL,32,7,21.88%,1,14.29%,6,18.75%
2006,NFL,32,10,31.25%,2,20.00%,6,18.75%
2005,NFL,32,3,9.38%,1,33.33%,6,18.75%
2004,NFL,32,7,21.88%,2,28.57%,5,15.63%
2003,NFL,32,5,15.63%,1,20.00%,3,9.38%
2002,NFL,32,7,21.88%,1,14.29%,2,6.25%
2001,NFL,31,6,19.35%,1,16.67%,3,9.68%
2000,NFL,31,9,29.03%,0,0.00%,2,6.45%
1999,NFL,31,9,29.03%,1,11.11%,3,9.68%
1998,NFL,30,4,13.33%,0,0.00%,3,10.00%
1997,NFL,30,10,33.33%,0,0.00%,3,10.00%
1996,NFL,30,7,23.33%,1,14.29%,3,10.00%
1995,NFL,30,9,30.00%,1,11.11%,2,6.67%
1994,NFL,28,5,17.86%,0,0.00%,3,10.71%
1993,NFL,28,5,17.86%,0,0.00%,3,10.71%
1992,NFL,28,9,32.14%,2,22.22%,3,10.71%
1991,NFL,28,5,17.86%,0,0.00%,1,3.57%
1990,NFL,28,6,21.43%,1,16.67%,1,3.57%
